ID,filename,channel_num,channel_letter,chamber,set_number,average_speed,total_flight_time,distance,shortest_flying_bout,longest_flying_bout,portion_flying,total_duration,max_speed,box,test_date,time_start,population,site,host_plant,flew,died,flight_type,flight_details,NOTES,mass,short-wing,eggs,time_end,latitude,longitude,sex,beak,thorax,wing,body,w_morph,notes,date_measured,date_entered,recorder
33,set013-10-17-19-B4.txt,4,B,B-4,13,0,0,1.257,0,0,0,1800.0,0,A,10.17,1:25,Plantation Key,Founder's #1,C. corindum,N,Y,,,,,,,,24.96448253,-80.56738908,M,5.36,2.57,4.27,4.33,S,,03.19.2020,03.25.2020,AB
21,set014-10-17-19-A1.txt,1,A,A-1,14,0,0,0,0,0,0,1800.0,0,A,10.17,2:20,Plantation Key,Founder's #1,C. corindum,N,,,,,,,,,24.96448253,-80.56738908,M,5.26,2.64,4.98,7.87,S,,03.19.2020,03.25.2020,AB
264,set014-10-17-19-A2.txt,2,A,A-2,14,0.19,0,4.398,0,0,0,1800.0,0,C,10.17,2:20,North Key Largo,DD,C. corindum,N,,,,,,,,,25.28636983,-80.29077075,M,5.95,3.05,8.21,11.33,L,,03.23.2020,03.26.2020,AB
269,set014-10-17-19-A3.txt,3,A,A-3,14,0,0,0,0,0,0,1800.0,0,C,10.17,2:20,North Key Largo,DD,C. corindum,N,,,,,,,,,25.28636983,-80.29077075,M,6.20,3.13,8.35,11.47,L,wings torn at end,03.23.2020,03.26.2020,AB
155,set014-10-17-19-A4.txt,4,A,A-4,14,0.149,29.4,9.425,0,13.1,0.016,1800.0,0.217,D,10.17,2:20,Lake Wales,Polk,K. elegans,Y,,B,bursts,,,,,,27.903346,-81.589461,M,6.07,3.09,8.31,11.48,L,wings torn at end,03.20.2020,03.25.2020,AB
381,set014-10-17-19-B1.txt,1,B,B-1,14,0,0,0,0,0,0,1800.0,0,D,10.17,2:20,Leesburg,Veteran’s Memorial Park,K. elegans,N,,,,,,,Y,,28.812980,-81.877895,F,8.12,3.79,9.92,13.78,L,wings torn at end,03.24.2020,03.26.2020,AB
387,set014-10-17-19-B2.txt,2,B,B-2,14,0.221,779.2,11.938,0,742.3,0.433,1800.0,0.299,D,10.17,2:20,Leesburg,Veteran’s Memorial Park,K. elegans,Y,,B,bursts,,,,Y,,28.812980,-81.877895,F,7.49,3.25,8.54,11.88,L,,03.24.2020,03.26.2020,AB
68,set014-10-17-19-B3.txt,3,B,B-3,14,0.413,224.8,89.219,224.8,224.8,0.125,1800.0,1.257,Petri1,10.17,2:20,North Key Largo,Dagny Trellis,C. corindum,Y,,,,,,,Y,,25.1755048,-80.36782055,F,8.26,3.77,10.11,13.74,L,,03.20.2020,03.25.2020,AB
116,set014-10-17-19-B4.txt,4,B,B-4,14,0.291,319.1,23.875,71.3,240.8,0.177,1800.0,0.483,A,10.17,2:20,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,long bursts,,,,,,25.491968,-80.48562,M,6.08,3.05,8.29,11.20,L,,03.20.2020,03.25.2020,AB
229,set016-10-18-19-A1.txt,1,A,A-1,16,0,0,0,0,0,0,1800.0,0,E,10.18,10:55,North Key Largo,Carysfort Cr,C. corindum,N,,,,,,,Y,,25.25647566,-80.31068981,F,7.66,3.16,8.36,11.67,L,,03.23.2020,03.26.2020,AB
275,set016-10-18-19-A2.txt,2,A,A-2,16,0,0,0,0,0,0,1800.0,0,C,10.18,10:55,North Key Largo,DD,C. corindum,N,,,,,,,,,25.28636983,-80.29077075,F,9.35,3.78,10.19,14.01,L,,03.23.2020,03.26.2020,AB
125,set016-10-18-19-A3.txt,3,A,A-3,16,0.265,526.4,81.679,67.4,232.3,0.292,1800.0,0.37,B,10.18,10:55,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts,,,,,,25.491968,-80.48562,M,6.14,3.19,9.02,12.10,L,,03.20.2020,03.25.2020,AB
120,set016-10-18-19-A4.txt,4,A,A-4,16,0.371,462.9,82.936,212.3,223.4,0.257,1800.0,0.449,A,10.18,10:55,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,B,bursts,,,,,,25.491968,-80.48562,M,5.70,3.23,8.54,11.59,L,,03.20.2020,03.25.2020,AB
375,set017-10-18-19-A1.txt,1,A,A-1,17,0,0,0.628,0,0,0,1800.0,0,Petri2,10.18,11:45,Leesburg,Veteran’s Memorial Park,K. elegans,N,,,,,,,Y,,28.812980,-81.877895,F,8.27,3.71,10.48,14.35,L,,03.24.2020,03.26.2020,AB
331,set017-10-18-19-A2.txt,2,A,A-2,17,0,0,0.628,0,0,0,1800.0,0,C,10.18,11:45,Lake Placid,Barber shop,K. elegans,N,,,,,,,Y,,27.298660028,-81.36611608,F,8.19,3.58,9.47,13.32,L,,03.24.2020,03.26.2020,AB
69,set017-10-18-19-A3.txt,3,A,A-3,17,0,0,0,0,0,0,1800.0,0,Petri1,10.18,11:45,North Key Largo,Dagny Trellis,C. corindum,N,,,,,,,Y,,25.1755048,-80.36782055,F,8.74,3.43,8.99,12.55,L,,03.20.2020,03.25.2020,AB
67,set017-10-18-19-A4.txt,4,A,A-4,17,0.281,24.7,5.655,0,19.3,0.014,1800.0,0.571,Petri1,10.18,11:45,North Key Largo,Dagny Trellis,C. corindum,Y,,B,bursts,,,,,,25.1755048,-80.36782055,M,6.23,2.94,7.76,10.94,L,,03.20.2020,03.25.2020,AB
187,set017-10-18-19-B1.txt,1,B,B-1,17,0,0,0,0,0,0,1800.0,0,B,10.18,11:45,North Key Largo,N. Dagny,C. corindum,N,,,,,,,Y,,25.18229498,-80.36369887,F,8.98,3.68,9.06,12.81,L,,03.20.2020,03.25.2020,AB
416,set017-10-18-19-B2.txt,2,B,B-2,17,0.306,421.1,13.194,0,363.3,0.234,1800.0,0.449,D,10.18,11:45,Gainesville,NW 10th Ave & 18th St,K. elegans,Y,,B,bursts,,,,Y,,29.661821,-82.347211,F,7.86,3.63,9.89,13.68,L,wings torn at end,03.24.2020,03.26.2020,AB
95,set017-10-18-19-B3.txt,3,B,B-3,17,0.482,1796.7,853.231,0,1796.7,0.998,1800.0,0.628,A,10.18,11:45,Homestead,SW 296th St & 182nd Ave,K. elegans,Y,,C,continuous,,,,Y,,25.491968,-80.48562,F,8.37,3.80,10.22,14.17,L,,03.20.2020,03.25.2020,AB
